Module ID,Annotation,X,Y
M1_1,Plasma cells,1,1
M1_2,Platelets,1,2
M1_3,B cells,1,3
M1_4,U_cAMP/NF-KB activation,1,4
M1_5,Myeloid lineage 1,1,5
M1_6,U_P53 signaling,1,6
M1_7,MHC/Ribosomal proteins,1,7
M1_8,U_metabolism/replication,1,8
M2_1,Cytotoxic cells,2,1
M2_2,Neutrophils,2,2
M2_3,Erythrocytes,2,3
M2_4,Ribosomal proteins,2,4
M2_5,U_Immunity/cytoskeleton,2,5
M2_6,Myeloid lineage 2,2,6
M2_7,Unknown,2,7
M2_8,T Cells,2,8
M2_9,U_T cells/cytoskeleton,2,9
M2_10,U_Immsurface/cytokines/signaling,2,10
M2_11,U_RAS/kinases,2,11
M3_1,Interferon-inducible,3,1
M3_2,Inflammation I,3,2
M3_3,Inflammation II,3,3
M3_4,U_protphosphatases/PI3K,3,4
M3_5,U_hemoglobin,3,5
M3_6,U_mitochondrial proteins,3,6
M3_7,U_proteasome/ubiquitin cx,3,7
M3_8,U_enzymes,3,8
M3_9,U_kinases/phosphatases,3,9
