Module ID,Annotation,X,Y
M1_1,Coagulation / Platelets 1,1,1
M1_2,IFN Response 1,1,2
M2_1,Unnamed 1,2,1
M2_2,Unnamed 2,2,2
M2_3,Erythropoeisis 2,2,3
M3_1,Erythropoeisis 3,3,1
M3_2,Myeloid Lineage 1,3,2
M3_3,Cell Cycle 1,3,3
M3_4,IFN Response 2,3,4
M3_5,Protein Synthesis 1,3,5
M3_6,Cytotoxicity / NK Cells 1,3,6
M4_1,T Cells 1,4,1
M4_2,Inflammation 1,4,2
M4_3,Protein Synthesis 2,4,3
M4_4,Erythropoeisis 4,4,4
M4_5,Protein Synthesis 3,4,5
M4_6,Myeloid Lineage 3,4,6
M4_7,Lymphoid Lineage 1,4,7
M4_8,Hypothetical Proteins,4,8
M4_9,Granulocytes 1,4,9
M4_10,B Cells 1,4,10
M4_11,Plasma Cells 1,4,11
M4_12,Unnamed 3,4,12
M4_13,Myeloid Lineage 2,4,13
M4_14,Monocytes 1,4,14
M4_15,Cytotoxicity / NK Cells 2,4,15
M4_16,Unnamed 4,4,16
M5_1,Inflammation 2,5,1
M5_2,Unnamed 5,5,2
M5_3,Erythropoeisis 1,5,3
M5_4,Protein Synthesis 4,5,4
M5_5,Unnamed 6,5,5
M5_6,Mitochondria / Proteasome 3,5,6
M5_7,Myeloid Lineage 5,5,7
M5_8,Unnamed 7,5,8
M5_9,Protein Synthesis 5,5,9
M5_10,Mitochondria / Proteasome 1,5,10
M5_11,Lymphoid Lineage 2,5,11
M5_12,IFN Response 3,5,12
M5_13,Mitochondria / Proteasome 2,5,13
M5_14,Myeloid Lineage 4,5,14
M5_15,Neutrophils 1,5,15
M6_1,Unnamed 8,6,1
M6_2,Mitochondria / Proteasome 4,6,2
M6_3,Unnamed 11,6,3
M6_4,Unnamed 12,6,4
M6_5,Unnamed 13,6,5
M6_6,Myeloid Lineage 6,6,6
M6_7,Lymphoid Lineage 4,6,7
M6_8,Unnamed 14,6,8
M6_9,Lymphoid Lineage 5,6,9
M6_10,Unnamed 9,6,10
M6_11,Cell Cycle 2,6,11
M6_12,Lymphoid Lineage 3,6,12
M6_13,Inflammation 3,6,13
M6_14,Coagulation / Platelets 2,6,14
M6_15,T Cells 2,6,15
M6_16,Cell Cycle 3,6,16
M6_17,Unnamed 10,6,17
M6_18,Erythropoeisis 5,6,18
M6_19,T Cells 3,6,19
M6_20,Neutrophils 2,6,20
M7_1,Unnamed 15,7,1
M7_2,Unnamed 23,7,2
M7_3,Unnamed 28,7,3
M7_4,Mitochondria / Proteasome 5,7,4
M7_5,Unnamed 31,7,5
M7_6,Cell Cycle 4,7,6
M7_7,Plasma Cells 3,7,7
M7_8,Unnamed 32,7,8
M7_9,Unnamed 33,7,9
M7_10,Lipid Synthesis 1,7,10
M7_11,Unnamed 16,7,11
M7_12,Unnamed 17,7,12
M7_13,Unnamed 18,7,13
M7_14,Unnamed 19,7,14
M7_15,Granulocytes 2,7,15
M7_16,Histones,7,16
M7_17,Unnamed 20,7,17
M7_18,Unnamed 21,7,18
M7_19,Unnamed 22,7,19
M7_20,Protein Synthesis 6,7,20
M7_21,Unnamed 24,7,21
M7_22,Monocytes 2,7,22
M7_23,Unnamed 25,7,23
M7_24,Lymphoid Lineage 6,7,24
M7_25,Lymphoid Lineage 7,7,25
M7_26,Unnamed 26,7,26
M7_27,Myeloid Lineage 7,7,27
M7_28,Unnamed 27,7,28
M7_29,Myeloid Lineage 8,7,29
M7_30,Unnamed 29,7,30
M7_31,Erythropoeisis 6,7,31
M7_32,Plasma Cells 2,7,32
M7_33,Erythropoeisis 7,7,33
M7_34,Unnamed 30,7,34
M7_35,Myeloid Lineage 9,7,35
M8_1,Unnamed 34,8,1
M8_2,Unnamed 54,8,2
M8_3,Unnamed 64,8,3
M8_4,Unnamed 72,8,4
M8_5,Unnamed 82,8,5
M8_6,Unnamed 89,8,6
M8_7,Unnamed 98,8,7
M8_8,Unnamed 104,8,8
M8_9,Unnamed 111,8,9
M8_10,Unnamed 35,8,10
M8_11,Unnamed 45,8,11
