module	GeneName
M1_1	VWF
M1_1	TUBB1
M1_1	TSPAN9
M1_1	TSPAN33
M1_1	TSC22D1
M1_1	TSC22D1
M1_1	TREML1
M1_1	TNNC2
M1_1	TNFSF4
M1_1	TMEM40
M1_1	TFPI
M1_1	SYTL4
M1_1	SPOCD1
M1_1	SPARC
M1_1	SLC8A3
M1_1	SLC24A3
M1_1	SH3BGRL2
M1_1	SEPT5
M1_1	SELP
M1_1	SEC14L5
M1_1	SDPR
M1_1	SCGB1C1
M1_1	SCGB1C1
M1_1	SAMD14
M1_1	RBPMS2
M1_1	PTGS1
M1_1	PROS1
M1_1	PPBP
M1_1	PGRMC1
M1_1	PF4V1
M1_1	PDLIM1
M1_1	PDE5A
M1_1	PARVB
M1_1	NT5M
M1_1	NRGN
M1_1	NGFRAP1
M1_1	NAT8B
M1_1	MYLK
M1_1	MYL9
M1_1	MPL
M1_1	MMRN1
M1_1	MMD
M1_1	MGLL
M1_1	MEIS1
M1_1	LOC644952
M1_1	JAM3
M1_1	ITGB5
M1_1	ITGB5
M1_1	ITGA2B
M1_1	IL8RBP
M1_1	HSPC159
M1_1	HOMER2
M1_1	HIST1H2AG
M1_1	GUCY1A3
M1_1	GRAP2
M1_1	GP9
M1_1	GP6
M1_1	GNG11
M1_1	GNAZ
M1_1	FSTL1
M1_1	FLJ45337
M1_1	FHL1
M1_1	FAM69B
M1_1	F13A1
M1_1	ENDOD1
M1_1	EGF
M1_1	DNM3
M1_1	DKFZp686I15217
M1_1	DDEF2
M1_1	DAB2
M1_1	CXorf20
M1_1	CXCL5
M1_1	CTTN
M1_1	CTDSPL
M1_1	CMTM5
M1_1	CLEC1B
M1_1	CLDN5
M1_1	CALD1
M1_1	CABP5
M1_1	C7orf41
M1_1	C6orf21
M1_1	C3orf60
M1_1	C1orf198
M1_1	BMP6
M1_1	ALOX12
M1_1	ACSBG1
M1_1	ACRBP
M1_1	ABLIM3
M1_1	ABCC3
M1_2	XAF1
M1_2	TRIM6
M1_2	SERPING1
M1_2	RTP4
M1_2	RSAD2
M1_2	OTOF
M1_2	OASL
M1_2	OASL
M1_2	OAS3
M1_2	OAS2
M1_2	OAS2
M1_2	OAS1
M1_2	OAS1
M1_2	OAS1
M1_2	MX1
M1_2	LY6E
M1_2	LOC26010
M1_2	LOC129607
M1_2	LAMP3
M1_2	ISG15
M1_2	IFITM3
M1_2	IFIT3
M1_2	IFIT3
M1_2	IFIT3
M1_2	IFIT1
M1_2	IFIT1
M1_2	IFI44L
M1_2	IFI44
M1_2	HES4
M1_2	HERC5
M1_2	FLJ20035
M1_2	EPSTI1
M1_2	CXCL10
M1_2	BATF2
M2_1	ZNF93
M2_1	ZNF786
M2_1	ZNF785
M2_1	ZNF600
M2_1	ZNF486
M2_1	ZNF223
M2_1	ZNF14
M2_1	YRDC
M2_1	USP49
M2_1	TTC8
M2_1	TDRD1
M2_1	SUMO4
M2_1	SSR2
M2_1	SOLH
M2_1	SLC5A8
M2_1	SLC25A20
M2_1	SDHALP1
M2_1	RAXL1
M2_1	PTPLAD2
M2_1	PTP4A2
M2_1	PTP4A2
M2_1	PPP2R3A
M2_1	PPM1B
M2_1	POLR2J4
M2_1	POLR2J4
M2_1	PIP5K2B
M2_1	PHF20L1
M2_1	PCDHB19P
M2_1	PBLD
M2_1	PAK2
M2_1	MGC5457
M2_1	MGC12760
M2_1	MCM8
M2_1	MCART1
M2_1	LOC731865
M2_1	LOC728653
M2_1	LOC728153
M2_1	LOC727778
M2_1	LOC653829
M2_1	LOC653596
M2_1	LOC653489
M2_1	LOC653158
M2_1	LOC653086
M2_1	LOC651309
M2_1	LOC649270
M2_1	LOC648852
M2_1	LOC648059
M2_1	LOC647389
M2_1	LOC646897
M2_1	LOC644852
M2_1	LOC644250
M2_1	LOC643882
M2_1	LOC643669
M2_1	LOC641704
M2_1	LOC440704
M2_1	LOC402176
M2_1	LOC401622
M2_1	LOC400721
M2_1	LOC196752
M2_1	LOC132241
M2_1	LMOD3
M2_1	KIAA1618
M2_1	KIAA0492
M2_1	KIAA0408
M2_1	ICA1
M2_1	HSD17B7P2
M2_1	HSD17B7
M2_1	HECTD2
M2_1	GALNT3
M2_1	FLJ40722
M2_1	FLJ38717
M2_1	FLJ34047
M2_1	FLJ12078
M2_1	FARSLB
M2_1	EVI5
M2_1	ERGIC1
M2_1	EIF2AK4
M2_1	DKFZp564K142
M2_1	DKFZp434K191
M2_1	CTAGE5
M2_1	CSF2RA
M2_1	CEP27
M2_1	C9orf130
M2_1	C8orf44
M2_1	C7orf38
M2_1	C7orf28A
M2_1	C4orf29
M2_1	C21orf55
M2_1	C1orf84
M2_1	C15orf51
M2_1	C15orf28
M2_1	BCYRN1
M2_1	ANXA11
M2_1	ANKRD30B
M2_1	ANKRD13D
M2_1	ALS2CR14
M2_1	ALPP
M2_1	AHR
M2_2	ZNF583
M2_2	ZNF557
M2_2	ZNF226
M2_2	ZNF180
M2_2	ZMAT4
M2_2	ZBTB7A
M2_2	ZBTB22
M2_2	WDR32
M2_2	WDR26
M2_2	UNQ846
M2_2	TULP2
M2_2	TUBB2C
M2_2	TUBA3E
M2_2	TRIM73
M2_2	TRIM43
M2_2	TNFRSF6B
M2_2	TMEM58
